#node	identifier	domain_summary_url	annotation	other_names_and_aliases
CEP350	9606.ENSP00000356579	https://smart.embl.de/smart/DDvec.cgi?smart=3117:COIL(594|645)+COIL(1370|1415)+COIL(1739|1798)+COIL(1859|1899)+COIL(2051|2110)+CAP_GLY(2499|2564)+COIL(2719|2752)+	Centrosome-associated protein 350; Plays an essential role in centriole growth by stabilizing a procentriolar seed composed of at least, SASS6 and CENPJ. Required for anchoring microtubules to the centrosomes and for the integrity of the microtubule network. Recruits PPARA to discrete subcellular compartments and thereby modulates PPARA activity. Required for ciliation	2COZ,9857,A2A4F6,AAL55733.1,AAL91355.1,AF287356,AF387614,AL390718,AL590632,AL645487,CAH72345.1,CAI14833.1,CAI15177.1,CAP350,CCDS1336,CCDS1336.1,CE350_HUMAN,CEP350,CEP350-001,CEP350-002,CEP350-003,CEP350-004,CEP350-005,CEP350-006,CEP350-007,CEP350-008,CEP350-009,CEP350-011,CEP350-012,Centrosomal protein 350kDa,Centrosome-associated protein 350,Centrosome-associated protein of 350 kDa,E9PIK0,ENSG00000135837,ENSP00000258316,ENSP00000320305,ENSP00000322932,ENSP00000345626,ENSP00000350016,ENSP00000356577,ENSP00000356578,ENSP00000356579,ENSP00000395750,ENSP00000398669,ENSP00000401608,ENSP00000407044,ENSP00000409395,ENSP00000412460,ENSP00000432910,ENSP00000435808,ENST00000258316,ENST00000319361,ENST00000319377,ENST00000342255,ENST00000357434,ENST00000367605,ENST00000367606,ENST00000367607,ENST00000417046,ENST00000418229,ENST00000419991,ENST00000429851,ENST00000437245,ENST00000439289,ENST00000484356,ENST00000490047,ENST00000490141,ENST00000491495,ENST00000496440,GM133,H0YD38,HGNC:24238,HPA028355,HPA028357,HPA030845,Hs.413045,Hs.700048,KIAA0480,NM_014810,NM_014810.4,NP_055625,NP_055625.4,NX_Q5VT06,O75068,OMIM:617870,OTTHUMG00000035269,OTTHUMP00000033199,OTTHUMP00000033200,OTTHUMP00000033201,OTTHUMP00000033202,OTTHUMP00000033203,OTTHUMP00000192895,OTTHUMP00000233958,OTTHUMP00000233959,OTTHUMT00000085315,OTTHUMT00000085316,OTTHUMT00000085317,OTTHUMT00000085318,OTTHUMT00000085319,OTTHUMT00000085320,OTTHUMT00000085321,OTTHUMT00000085322,OTTHUMT00000085323,OTTHUMT00000309000,OTTHUMT00000391040,Q5T2X4,Q5T2X5,Q5VT06,Q8TDK3,Q8WY20,UPI0000073361,UPI000013CFC5,UPI0000470028,UPI0000470029,UPI000059D06F,UPI000059D070,UPI0001F77FE4,UPI0001F77FE5,centrosomal protein 350,centrosomal protein 350kDa,centrosome associated protein 350,hsa:9857,uc001gnr.1,uc001gnt.3,uc001gnt.4,uc001gnv.3,uc001gnw.1,uc001gnx.1
CEP68	9606.ENSP00000367229	http://smart.embl.de/smart/DDt.cgi?smart=757:	Centrosomal protein of 68 kDa; Involved in maintenance of centrosome cohesion, probably as part of a linker structure which prevents centrosome splitting. Required for localization of CDK5RAP2 to the centrosome during interphase	23177,AAF03518.2,AAH02982.1,AAH04873.1,AAY14962.1,AB011154,AC007318,AC007386,AC084278,AK299373,B4DRQ1,BAA25508.2,BAG61363.1,BC002982,BC004873,BX648774,CAI46022.1,CCDS1880,CCDS1880.2,CCDS82457,CEP68,CEP68-001,CEP68-002,CEP68-003,CEP68-004,CEP68-201,CEP68_HUMAN,CH471053,Centrosomal protein 68kDa,Centrosomal protein of 68 kDa,D6W5F1,D6W5F2,DKFZP686H16130,EAW99926.1,EAW99927.1,EAW99928.1,EAW99929.1,ENSG00000011523,ENSP00000260569,ENSP00000342060,ENSP00000367229,ENSP00000377896,ENSP00000438306,ENSP00000443357,ENSP00000445272,ENST00000260569,ENST00000342370,ENST00000377990,ENST00000394371,ENST00000475851,ENST00000497039,ENST00000537589,ENST00000545501,ENST00000546106,HGNC:29076,HPA040493,HPA040620,Hs.683033,Hs.709257,KIAA0582,NM_001319100,NM_015147,NM_015147.2,NP_001306029,NP_001306029.1,NP_001306030.1,NP_055962,NP_055962.2,NX_Q76N32,O60326,OMIM:616889,OTTHUMG00000129538,OTTHUMP00000159934,OTTHUMP00000159935,OTTHUMT00000251727,OTTHUMT00000251728,OTTHUMT00000327570,OTTHUMT00000327571,Q53RN6,Q5HYA6,Q76N32,Q9BQ18,Q9UDM9,UPI000013D0E8,UPI00004C4170,UPI0000505465,XM_005264218,XP_005264275,XP_005264275.1,XP_005264276,XP_005264276.1,centrosomal protein 68,centrosomal protein 68kDa,hsa:23177,uc002sdk.4,uc002sdk.5,uc002sdl.4,uc002sdl.5
CHMP2A	9606.ENSP00000469240	https://smart.embl.de/smart/DDvec.cgi?smart=222:Pfam_Snf7(17|187)+COIL(196|222)+	Charged multivesicular body protein 2a; Probable core component of the endosomal sorting required for transport complex III (ESCRT-III) which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids. The MVB pathway appears to require the sequential functio [...] 	27243,A0A024R4S0,AAC00005.1,AAH02502.1,AAP35962.1,AAQ76807.1,AC016630,AF042384,AJ277113,AK311974,AY364248,B2R4W6,BAG34913.1,BC-2,BC002502,BC2,BT007298,CAC14310.1,CAG33283.1,CCDS12986,CCDS12986.1,CHM2A_HUMAN,CHMP2,CHMP2A,CHMP2A-001,CHMP2A-003,CHMP2A-004,CHMP2A-005,CHMP2A-006,CHMP2A-007,CHMP2A-008,CHMP2A-009,CR457002,Charged multivesicular body protein 2A,Charged multivesicular body protein 2a,Charged multivesicular body proteins,Chromatin-modifying protein 2a,EAW72609.1,EAW72610.1,EAW72611.1,ENSG00000130724,ENSP00000310440,ENSP00000375575,ENSP00000469240,ENSP00000469453,ENSP00000471961,ENSP00000472097,ENSP00000472680,ENST00000312547,ENST00000391693,ENST00000596708,ENST00000597209,ENST00000597848,ENST00000600006,ENST00000600118,ENST00000600804,ENST00000601220,ESCRT-III,HGNC:30216,HPA041153,HPA042031,M0QXX8,M0R1L7,NM_014453,NM_014453.3,NM_198426,NM_198426.2,NP_055268,NP_055268.1,NP_940818,NP_940818.1,NX_O43633,O43633,OMIM:610893,OTTHUMG00000183547,OTTHUMP00000271943,OTTHUMP00000271944,OTTHUMP00000271945,OTTHUMP00000271946,OTTHUMP00000271947,OTTHUMP00000271948,OTTHUMT00000467087,OTTHUMT00000467088,OTTHUMT00000467089,OTTHUMT00000467090,OTTHUMT00000467091,OTTHUMT00000467092,OTTHUMT00000467094,OTTHUMT00000467095,Putative breast adenocarcinoma marker BC-2,Q3ZTT0,UPI000000DB96,UPI0002A4707B,UPI0002A475F5,UPI0002A4762D,VPS2,VPS2 homolog A,VPS2A,Vacuolar protein sorting-associated protein 2-1,XM_005258746,XM_005258746.1,XM_005258747,XM_005258747.1,XP_005258803,XP_005258803.1,XP_005258804,XP_005258804.1,charged multivesicular body protein 2A,chromatin modifying protein 2A,hsa:27243,putative breast adenocarcinoma marker,uc002qti.3,uc002qtj.4,uc002qtk.4
CHMP4B	9606.ENSP00000217402	https://smart.embl.de/smart/DDvec.cgi?smart=224:Pfam_Snf7(24|199)+	Charged multivesicular body protein 4b; Probable core component of the endosomal sorting required for transport complex III (ESCRT-III) which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids. The MVB pathway appears to require the sequential functio [...] 	128866,3C3Q,3UM3,4ABM,5MK2,AAH33859.1,AAQ91194.1,AB100261,AL050349,AY329085,BAC79375.1,BC033859,C20orf178,CAC14088.1,CCDS13228,CCDS13228.1,CHM4B_HUMAN,CHMP4A,CHMP4B,CHMP4B-001,CTPP3,CTRCT31,Charged multivesicular body protein 4B,Charged multivesicular body protein 4b,Charged multivesicular body proteins,Chromatin-modifying protein 4b,E1P5N4,EAW76293.1,EAW76294.1,ENSG00000101421,ENSP00000217402,ENSP00000364326,ENST00000217402,ENST00000375182,ESCRT-III,HGNC:16171,HPA041401,NM_176812,NM_176812.4,NP_789782,NP_789782.1,NX_Q9H444,OMIM:610897,OTTHUMG00000032272,OTTHUMP00000030668,OTTHUMT00000078738,Q53ZD6,Q9H444,SHAX1,SNF7,SNF7 homolog associated with Alix 1,SNF7-2,Shax1,UPI0000128625,VPS32B,Vacuolar protein sorting-associated protein 32-2,Vps32-2,charged multivesicular body protein 4B,chromatin modifying protein 4B,chromosome 20 open reading frame 178,dJ553F4.4,hsa:128866,uc002xaa.3,uc002xaa.4
CHPF	9606.ENSP00000243776	https://smart.embl.de/smart/DDvec.cgi?smart=775:Pfam_CHGN(262|762)+	Chondroitin sulfate synthase 2; Has both beta-1,3-glucuronic acid and beta-1,4-N- acetylgalactosamine transferase activity. Transfers glucuronic acid (GlcUA) from UDP-GlcUA and N-acetylgalactosamine (GalNAc) from UDP-GalNAc to the non-reducing end of the elongating chondroitin polymer. Isoform 2 may facilitate PRKN transport into the mitochondria. In collaboration with PRKN, isoform 2 may enhance cell viability and protect cells from oxidative stress	2.4.1.175,2.4.1.226,79586,AAH08878.2,AAH21223.2,AAH23531.1,AAQ88769.1,AB086063,AB095813,AK026331,AK302124,AL136814,AY358403,B4DXU0,BAB15449.1,BAC78393.1,BAC81536.1,BAG63502.1,BC008878,BC021223,BC023531,Beta 3-glycosyltransferases,Beta 4-glycosyltransferases,CAB66748.2,CCDS2443,CCDS2443.1,CCDS56169,CCDS56169.1,CHPF,CHPF-001,CHPF-002,CHPF-201,CHSS2_HUMAN,CHSY2,CSS2,Chondroitin glucuronyltransferase 2,Chondroitin polymerizing factor,Chondroitin sulfate synthase 2,Chondroitin-polymerizing factor,EAW70768.1,EC 2.4.1.175,EC 2.4.1.226,ENSG00000123989,ENSP00000243776,ENSP00000362998,ENSP00000445571,ENST00000243776,ENST00000373891,ENST00000535926,F8W6H2,HGNC:24291,HPA035123,Hs.516711,N-acetylgalactosaminyltransferase 2,NM_001195731,NM_001195731.1,NM_024536,NM_024536.5,NP_001182660,NP_001182660.1,NP_078812,NP_078812.2,NX_Q8IZ52,OMIM:610405,OTTHUMG00000058929,OTTHUMP00000064873,OTTHUMP00000196379,OTTHUMT00000130268,OTTHUMT00000130269,Q6UXD6,Q7L4G1,Q8IZ52,Q9H0F8,Q9H618,UNQ651/PRO1281,UPI00001AE6D6,UPI0000209668,UPI0002065B43,chondroitin polymerizing factor,chondroitin sulfate synthase 2,hsa:79586,uc002vmc.4,uc002vmc.5,uc010zlh.2
CHPF2	9606.ENSP00000035307	https://smart.embl.de/smart/DDvec.cgi?smart=772:SIGNAL(1|19)+Pfam_CHGN(242|759)+	Chondroitin sulfate glucuronyltransferase; Transfers glucuronic acid (GlcUA) from UDP-GlcUA to N- acetylgalactosamine residues on the non-reducing end of the elongating chondroitin polymer. Has no N- acetylgalactosaminyltransferase activity; Beta 3-glycosyltransferases	2.4.1.226,54480,AAH64509.1,AAQ88773.1,AB037823,AB095812,AC021097,AY358407,B2DBD8,BAA92640.1,BAG30817.1,BC064509,Beta 3-glycosyltransferases,Beta 4-glycosyltransferases,C9JZF7,CCDS34779,CCDS34779.1,CCDS64803,CCDS64803.1,CHPF2,CHPF2-001,CHPF2-002,CHPF2-003,CHPF2-004,CHPF2_HUMAN,CHSY3,CSGLCA-T,CSGLCAT,CSGlcA-T,CSGlcAT,ChSy-3,Chondroitin glucuronyltransferase,Chondroitin polymerizing factor 2,Chondroitin sulfate glucuronyltransferase,Chondroitin synthase 3,EAW54010.1,EAW54011.1,EC 2.4.1.226,ENSG00000033100,ENSP00000035307,ENSP00000367082,ENSP00000417859,ENSP00000418914,ENSP00000419769,ENSP00000420204,ENSP00000426380,ENSP00000427958,ENSP00000436879,ENST00000035307,ENST00000377851,ENST00000463723,ENST00000465601,ENST00000482173,ENST00000495645,ENST00000511966,ENST00000517304,ENST00000528939,G5E9W2,H7C5L5,HGNC:29270,HPA020992,HPA051582,Hs.647084,Hs.739318,KIAA1402,NM_001284295,NM_001284295.1,NM_019015,NM_019015.2,NP_001271224,NP_001271224.1,NP_061888,NP_061888.1,NX_Q9P2E5,OMIM:608037,OTTHUMG00000157380,OTTHUMP00000212063,OTTHUMP00000212170,OTTHUMP00000212171,OTTHUMP00000212172,OTTHUMT00000348648,OTTHUMT00000348842,OTTHUMT00000348843,OTTHUMT00000348844,Q6P2I4,Q6UXD2,Q9P2E5,UNQ299/PRO339,UPI000003F537,UPI00001C1E65,UPI0001B792A4,UPI0001B792A5,chPF-2,chondroitin polymerizing factor 2,chondroitin sulfate glucuronyltransferase,hsa:54480,uc003wjq.2,uc003wjr.2,uc003wjr.3
CISD3	9606.ENSP00000483781	https://smart.embl.de/smart/DDvec.cgi?smart=127:ZnF_CDGSH(44|78)+ZnF_CDGSH(82|119)+	CDGSH iron-sulfur domain-containing protein 3, mitochondrial; CDGSH iron sulfur domain containing; Belongs to the CISD protein family	284106,AK097047,CCDS45662,CCDS45662.1,CDGSH iron sulfur domain 3,CDGSH iron sulfur domain containing,CISD3,CISD3-001,CISD3-002,CISD3-003,CISD3_HUMAN,ENSG00000277972,ENSP00000483781,ENST00000613478,ENST00000616128,ENST00000619858,HGNC:27578,Miner2,MitoNEET-related protein 2,NM_001136498,NM_001136498.1,NP_001129970,NP_001129970.1,NX_P0C7P0,OMIM:611933,OTTHUMG00000188500,OTTHUMP00000276721,OTTHUMT00000477444,OTTHUMT00000477445,OTTHUMT00000477446,P0C7P0,hsa:284106,mitoNEET related 2,uc010wds.1,uc010wds.2,uc032gls.2
CIT	9606.ENSP00000376306	https://smart.embl.de/smart/DDvec.cgi?smart=2069:S_TKc(97|360)+S_TK_X(361|423)+COIL(453|1245)+COIL(1298|1339)+C1(1405|1453)+PH(1486|1607)+CNH(1634|1931)+	Citron Rho-interacting kinase; Plays a role in cytokinesis. Required for KIF14 localization to the central spindle and midbody. Putative RHO/RAC effector that binds to the GTP-bound forms of RHO and RAC1. It probably binds p21 with a tighter specificity in vivo. Displays serine/threonine protein kinase activity. Plays an important role in the regulation of cytokinesis and the development of the central nervous system. Phosphorylates MYL9/MLC2	11113,2.7.11.1,AAB71327.1,AAP13528.1,AAP43922.1,AAV87216.1,AB023166,AC002563,AC004813,AC079317,AY209000,AY257469,AY681966,BAA76793.2,CCDS55891,CCDS55891.1,CCDS9192,CCDS9192.1,CHEMBL5579,CIT,CIT-001,CIT-002,CIT-003,CIT-004,CIT-005,CIT-006,CIT-007,CIT-008,CIT-009,CIT-010,CIT-011,CIT-012,CIT-013,CIT-014,CIT-015,CIT-016,CIT-017,CIT-018,CIT-201,CITK,CRIK,CTRO_HUMAN,Citron Rho-interacting kinase,Citron rho-interacting serine/threonine kinase,EC 2.7.11.1,ENSG00000122966,ENSP00000261833,ENSP00000376305,ENSP00000376306,ENSP00000443199,ENSP00000446105,ENSP00000482318,ENST00000261833,ENST00000392520,ENST00000392521,ENST00000469414,ENST00000488203,ENST00000536008,ENST00000536325,ENST00000537607,ENST00000538073,ENST00000539413,ENST00000541841,ENST00000543239,ENST00000543324,ENST00000544588,ENST00000544800,ENST00000544872,ENST00000545913,ENST00000546026,ENST00000612548,F5H4K4,H0YGG8,HGNC:1985,HPA019082,Hs.119594,Hs.595215,Hs.673192,Hs.707600,KIAA0949,MCPH17,NM_001206999,NM_001206999.1,NM_007174,NM_007174.2,NP_001193928,NP_001193928.1,NP_009105,NP_009105.1,NX_O14578,O14578,OMIM:605629,OTTHUMG00000134325,OTTHUMP00000166060,OTTHUMP00000239872,OTTHUMP00000239873,OTTHUMP00000239874,OTTHUMP00000239883,OTTHUMT00000259410,OTTHUMT00000259411,OTTHUMT00000259412,OTTHUMT00000259413,OTTHUMT00000401847,OTTHUMT00000401848,OTTHUMT00000401849,OTTHUMT00000401851,OTTHUMT00000401852,OTTHUMT00000401862,OTTHUMT00000401863,OTTHUMT00000401864,OTTHUMT00000401865,OTTHUMT00000401866,OTTHUMT00000401867,OTTHUMT00000401868,OTTHUMT00000401869,OTTHUMT00000401871,Q2M5E1,Q6XUH8,Q86UQ9,Q9UPZ7,STK21,Serine/threonine-protein kinase 21,UPI00001908FD,UPI000049E307,UPI0000683C41,UPI000204AB9A,UPI000204AB9B,UPI000204AB9C,XM_005253829,XM_005253829.1,XP_005253886,XP_005253886.1,XP_006719269,XP_006719269.1,citron,citron rho-interacting serine/threonine kinase,hsa:11113,serine/threonine kinase 21,uc001txh.2,uc001txi.2,uc001txi.3,uc001txj.2
CLCC1	9606.ENSP00000349456	https://smart.embl.de/smart/DDvec.cgi?smart=551:Pfam_MCLC(3|551)+	Chloride channel CLIC-like protein 1; Seems to act as a chloride ion channel; Tetraspan junctional complex superfamily	23155,A0A024R095,A0A024R0G0,A6NGP0,AAH02939.1,AB018304,AB052915,AB052916,AB052917,AB052918,BAA34481.2,BAB59018.1,BAB79261.1,BAB79262.1,BAB79263.1,BC002939,CAI14363.1,CAI14364.1,CAI14365.1,CAI14366.1,CCDS41362,CCDS41362.1,CCDS60214,CCDS60214.1,CCDS60215,CCDS60215.1,CCDS793,CCDS793.1,CLCC1,CLCC1-001,CLCC1-002,CLCC1-003,CLCC1-004,CLCC1-005,CLCC1-006,CLCC1-007,CLCC1-201,CLCC1-202,CLCC1_HUMAN,Chloride channel CLIC-like 1,Chloride channel CLIC-like protein 1,EAW56345.1,EAW56346.1,EAW56347.1,EAW56348.1,EAW56349.1,ENSG00000121940,ENSP00000264130,ENSP00000303403,ENSP00000306552,ENSP00000318887,ENSP00000337243,ENSP00000349456,ENSP00000358985,ENSP00000358986,ENSP00000358987,ENSP00000358988,ENSP00000358989,ENSP00000358993,ENSP00000391304,ENSP00000411591,ENST00000264130,ENST00000302498,ENST00000302500,ENST00000320653,ENST00000336054,ENST00000348264,ENST00000356970,ENST00000369968,ENST00000369969,ENST00000369970,ENST00000369971,ENST00000369972,ENST00000369976,ENST00000415331,ENST00000423586,ENST00000473062,ENST00000482889,HGNC:29675,HPA009087,HPA013210,Hs.658489,KIAA0761,MCLC,Mid-1-related chloride channel protein 1,Mid1-related chloride channel,NM_001048210,NM_001048210.2,NM_001278202,NM_001278202.1,NM_001278203,NM_001278203.1,NM_015127,NM_015127.4,NP_001041675,NP_001041675.1,NP_001265131,NP_001265131.1,NP_001265132,NP_001265132.1,NP_055942,NP_055942.1,NX_Q96S66,O94861,OMIM:617539,OTTHUMG00000011732,OTTHUMP00000013438,OTTHUMP00000013439,OTTHUMP00000013440,OTTHUMP00000013441,OTTHUMP00000013442,OTTHUMT00000032405,OTTHUMT00000032406,OTTHUMT00000032407,OTTHUMT00000032408,OTTHUMT00000032409,OTTHUMT00000032410,OTTHUMT00000032411,Q5T1P5,Q8WYP8,Q8WYP9,Q96S66,Q9BU25,Tetraspan junctional complex superfamily,UPI000006D7D7,UPI00000722A8,UPI0000072786,UPI0000073C42,UPI00004700A4,chloride channel CLIC like 1,chloride channel CLIC-like 1,hsa:23155,uc001dwf.2,uc001dwg.2,uc001dwh.2,uc009wes.2,uc009wet.2,uc021ora.2
CLIP4	9606.ENSP00000327009	https://smart.embl.de/smart/DDvec.cgi?smart=705:ANK(106|144)+ANK(149|180)+ANK(186|215)+CAP_GLY(285|350)+CAP_GLY(487|552)+CAP_GLY(625|691)+	CAP-Gly domain containing linker protein family member 4	2Z0W,79745,A0AV10,A8K6D0,AAH15310.2,AAI26168.1,AAI36332.1,AAP97312.1,AAX88898.1,AAY24165.1,AB209042,AC074096,AC093593,AF433661,AK024722,AK057267,AK291595,AK302325,AL834443,Ankyrin repeat domain containing,B2RMQ3,B5MCH3,B7Z7N8,BAB14974.1,BAB71403.1,BAD92279.1,BAF84284.1,BAH13674.1,BC015310,BC126167,BC136331,C9IYE4,CAD39103.1,CAP-Gly domain-containing linker protein 4,CCDS1770,CCDS1770.1,CCDS74502,CCDS74502.1,CLIP4,CLIP4-001,CLIP4-003,CLIP4-004,CLIP4-005,CLIP4-006,CLIP4-007,CLIP4-008,CLIP4-009,CLIP4-010,CLIP4-011,CLIP4-012,CLIP4-013,CLIP4_HUMAN,E7EW06,E9PBB1,EAX00510.1,EAX00512.1,ENSG00000115295,ENSP00000304203,ENSP00000327009,ENSP00000337318,ENSP00000368859,ENSP00000368861,ENSP00000384242,ENSP00000384533,ENSP00000385148,ENSP00000385594,ENSP00000392296,ENSP00000393354,ENSP00000397600,ENSP00000399029,ENSP00000409704,ENSP00000414417,ENSP00000434609,ENST00000306046,ENST00000320081,ENST00000337671,ENST00000379543,ENST00000379545,ENST00000401605,ENST00000401617,ENST00000402240,ENST00000404424,ENST00000415891,ENST00000426642,ENST00000438819,ENST00000449202,ENST00000450018,ENST00000456385,ENST00000471165,ENST00000481628,ENST00000491701,ENST00000493551,ENST00000530644,FLJ21069,G3XAK3,HGNC:26108,HPA043366,HPA056246,Hs.623850,Hs.697432,NM_001287527,NM_001287527.1,NM_001287528,NM_001287528.1,NM_024692,NM_024692.5,NP_001274456,NP_001274456.1,NP_001274457,NP_001274457.1,NP_078968,NP_078968.3,NX_Q8N3C7,OTTHUMG00000097837,OTTHUMP00000123516,OTTHUMP00000201012,OTTHUMP00000201013,OTTHUMP00000201014,OTTHUMP00000201015,OTTHUMP00000201016,OTTHUMP00000201017,OTTHUMP00000201018,OTTHUMT00000215123,OTTHUMT00000324913,OTTHUMT00000324914,OTTHUMT00000324915,OTTHUMT00000324916,OTTHUMT00000324917,OTTHUMT00000324918,OTTHUMT00000324919,OTTHUMT00000324920,OTTHUMT00000324921,OTTHUMT00000324922,OTTHUMT00000324923,Q4ZFY2,Q53QT5,Q59GR7,Q7Z4U3,Q8N3C7,Q96BR7,Q96MA5,Q9H7C0,RSNL2,Restin-like protein 2,UPI000006F0E8,UPI00002081D7,UPI0000EE249F,UPI0001637C04,UPI000173A436,UPI000173A449,UPI000173A44A,XM_005264562,XM_005264562.1,XM_005264563,XM_005264563.1,XM_005264564,XM_005264564.1,XM_006712104,XM_006712104.1,XM_006712105,XM_006712105.1,XP_005264619,XP_005264619.1,XP_005264620,XP_005264620.1,XP_005264621,XP_005264621.1,XP_006712167,XP_006712167.1,XP_006712168,XP_006712168.1,XP_011531411.1,XP_016860447.1,hsa:79745,restin-like 2,uc002rmu.4,uc002rmu.5,uc002rmv.4,uc032nig.1
CNTRL	9606.ENSP00000362962	https://smart.embl.de/smart/DDvec.cgi?smart=2325:LRR(146|167)+LRR(168|191)+LRR(192|214)+COIL(435|799)+COIL(851|969)+COIL(997|1101)+COIL(1317|1394)+COIL(1420|1627)+COIL(1655|2214)+	Centriolin; Involved in cell cycle progression and cytokinesis. During the late steps of cytokinesis, anchors exocyst and SNARE complexes at the midbody, thereby allowing secretory vesicle- mediated abscission	11064,A2A2Y1,AAC32373.1,AAH02932.1,AAH89415.1,AAI37287.1,AAP43846.1,AAX35689.1,AC006430,AF083322,AF513978,AK074079,AY651261,B2RP67,BAB84905.1,BC002932,BC089415,BC137286,BX640927,CAE45965.1,CAI12358.1,CAM13285.1,CCDS35118,CCDS35118.1,CCDS83409,CEP1,CEP110,CNTRL,CNTRL-001,CNTRL-002,CNTRL-003,CNTRL-004,CNTRL-005,CNTRL-006,CNTRL-007,CNTRL-008,CNTRL-009,CNTRL-010,CNTRL-201,CNTRL-202,CNTRL_HUMAN,Centriolin,Centrosomal protein 1,Centrosomal protein of 110 kDa,ENSG00000119397,ENSP00000238341,ENSP00000305909,ENSP00000311759,ENSP00000362950,ENSP00000362951,ENSP00000362953,ENSP00000362956,ENSP00000362957,ENSP00000362962,ENSP00000362972,ENSP00000377894,ENSP00000377897,ENSP00000377909,ENSP00000388384,ENSP00000389346,ENSP00000404693,ENSP00000413014,ENSP00000481072,ENST00000238341,ENST00000305470,ENST00000311771,ENST00000373844,ENST00000373845,ENST00000373847,ENST00000373850,ENST00000373851,ENST00000373855,ENST00000373865,ENST00000394368,ENST00000394372,ENST00000394385,ENST00000414114,ENST00000431571,ENST00000439778,ENST00000454238,ENST00000468952,ENST00000491018,ENST00000613863,FAN,HGNC:1858,HPA020468,HPA020480,HPA051583,Hs.607417,Hs.653263,NM_007018,NM_007018.4,NP_001317691.1,NP_008949,NP_008949.4,NX_Q7Z7A1,OMIM:605496,OTTHUMG00000020581,OTTHUMP00000022002,OTTHUMP00000022003,OTTHUMP00000022006,OTTHUMP00000022007,OTTHUMP00000022010,OTTHUMP00000158535,OTTHUMT00000053850,OTTHUMT00000053851,OTTHUMT00000053852,OTTHUMT00000053853,OTTHUMT00000053854,OTTHUMT00000053855,OTTHUMT00000053856,OTTHUMT00000053859,OTTHUMT00000053860,OTTHUMT00000250216,Q3MN79,Q5FWF8,Q5JVD0,Q5JVD1,Q5JVD3,Q5JVD5,Q5JVD6,Q6MZR3,Q6PKC1,Q7Z7A1,Q8TEP3,Q9Y489,UPI00001BDC33,UPI0000211718,UPI000046FD2E,UPI000046FD2F,UPI000046FD30,UPI000046FD31,UPI0002B83295,XM_005251679,XM_005251679.2,XM_006716944,XM_006716944.1,XP_005251736,XP_005251736.1,XP_006717003,XP_006717003.1,XP_006717004,XP_006717004.1,XP_006717005,XP_006717005.1,XP_006717006,XP_006717006.1,XP_006717007,XP_006717007.1,bA165P4.1,centriolin,centrosomal protein 1,centrosomal protein 110kDa,hsa:11064,uc004bkw.2,uc004bkx.1,uc004bla.1,uc004blb.1,uc010mvo.1,uc064vkk.1
COL6A1	9606.ENSP00000355180	https://smart.embl.de/smart/DDvec.cgi?smart=1028:SIGNAL(1|19)+VWA(35|233)+Pfam_Collagen(253|313)+Pfam_Collagen(347|419)+Pfam_Collagen(500|564)+VWA(613|790)+VWA(827|1008)+	Collagen alpha-1(VI) chain; Collagen VI acts as a cell-binding protein; Belongs to the type VI collagen family	1291,AAA52055.1,AAB20835.2,AAH05159.2,AAH32821.1,AAH52575.1,BC005159,BC032821,BC052575,BTHLM1,CAA29555.1,CAA33888.1,CAA33889.1,CAA67559.1,CAA67576.1,CCDS13727,CCDS13727.1,CO6A1_HUMAN,COL6A1,COL6A1-001,COL6A1-002,COL6A1-003,COL6A1-004,COL6A1-005,COL6A1-006,COL6A1-201,Collagen alpha-1(VI) chain,Collagen, type VI, alpha 1,Collagens,ENSG00000142156,ENSP00000270121,ENSP00000322014,ENSP00000323058,ENSP00000355180,ENSP00000440477,ENSP00000442081,ENSP00000446304,ENSP00000483630,ENST00000270121,ENST00000323891,ENST00000323922,ENST00000361866,ENST00000463060,ENST00000466285,ENST00000486023,ENST00000492851,ENST00000498614,ENST00000537160,ENST00000538397,ENST00000546256,ENST00000612273,HGNC:2211,HPA019142,HPA029401,Hs.474053,LRG_475,LRG_475t1,M20776,M27447,NM_001848,NM_001848.2,NP_001839,NP_001839.2,NX_P12109,O00117,O00118,OMIM:120220,OPLL,OTTHUMG00000090440,OTTHUMP00000115501,OTTHUMT00000206877,OTTHUMT00000206878,OTTHUMT00000206879,OTTHUMT00000206880,OTTHUMT00000206881,OTTHUMT00000206882,P12109,Q05BT9,Q14040,Q14041,Q16258,Q7Z645,Q9BSA8,S75385,S75388,S75390,S75392,S75394,S75396,S75398,S75400,S75402,S75404,S75406,S75408,S75410,S75412,S75414,S75416,S75418,S75420,UCHMD1,UPI000019B179,X06194,X15879,X15880,X99109,X99135,X99136,XP_006724027,XP_006724027.1,collagen type VI alpha 1 chain,collagen, type VI, alpha 1,hsa:1291,uc002zhu.1,uc002zhu.2
